2025;Масло Крестьянское 72,5%;Масло Крестьянское 72,5%;180;http://vomoloko.ru/upload/files/vologda/maslo-krestyanskoe-180-gr-b.jpg;81.64;8;;;108;98;;;Упаковка:Фольга|Срок хранения:60 суток|Состав: пастеризованные сливки.;;2000;1;1;0;;шт
2026;Масло Шоколадное 62%;Масло Шоколадное 62%;180;http://vomoloko.ru/upload/files/vologda/maslo-shokoladnoe-180-gr-b.jpg;70.15;8;;;94;85;;;Упаковка:Фольга|Срок хранения:40 суток|Состав: пастеризованные сливки, сахар-песок, какао - порошок.;;2000;1;1;0;;шт
2027;Масло топленое 99%;Масло топленое 99%;200;http://vomoloko.ru/upload/files/vologda/maslo-toplyonoe-b.jpg;136.39;8;;;180;164;;;Упаковка:п/п стакан|Срок хранения:60 суток|Состав: масло сливочное.;;2000;1;1;0;;шт
2028;Сыр плавленый колбасный копченый 30%;Сыр плавленый колбасный копченый 30%;300;http://vomoloko.ru/upload/files/vologda/sir_kolbasniy_pair.jpg;81.31;7;;;109;99;;;Срок хранения:90 суток|Состав: сыр нежирный для плавления, сыр полутвердый, вода, масло сладкосливочное, молоко сухое обезжиренное, соли-плавители (*фонакон*, натрий фосфорнокислый двузамещенный), соль поваренная пищевая. ;;2000;1;5;0;;шт
2029;Сыр *Волжский* 40% фасованный, кусочек примерно 300 гр;Сыр *Волжский* 40% фасованный, кусочек примерно 300 гр;1000;http://vomoloko.ru/upload/files/vologda/sir_volzskiy.jpg;451.55;7;Сыр *Волжский*-высокопитательный продукт с выраженным сырным кисломолочным вкусом. Имеет нежную пластичную консистенцию и глазки неправильной формы,равномерно расположенные по всей массе.;;596;542;;;Упаковка:вакуумная упаковка|Срок хранения:30 суток|Cостав: молоко  цельное, молоко обезжиренное, соль поваренная пищевая, с использованием закваски на чистых культурах  лактоккоков, молокосвертывающего сычужно- говяжего ферментного  препарата  животного  происхождения, кальция хлористого.;;2000;0.3;0.3;0;;кг
2030;Сыр *Пошехонский *ИТ* 30% фасованный, кусочек примерно 300 гр;Сыр *Пошехонский *ИТ* 30% фасованный, кусочек примерно 300 гр;1000;http://vomoloko.ru/upload/files/vologda/sir_poshehonsky.jpg;451.55;7;Сыр *Пошехонский* - питательный продукт с выраженным сырным вкусом. Имеет однородную пластичную консистенцию и глазки круглой или овальной формы, расположенные по всей массе. Отличается от других сыров пониженным содержанием жира. ;;596;542;;;Упаковка:вакуумная упаковка|Срок хранения:25 суток|Cостав: молоко  цельное, молоко обезжиренное, соль поваренная пищевая, с использованием закваски на чистых культурах  лактоккоков, молокосвертывающего сычужно- говяжего ферментного  препарата  животного  происхождения, кальция хлористого.;;2000;0.3;0.3;0;;кг
2031;Сыр *Костромской ИТ* 45% фасованный, кусочек примерно 300 гр;Сыр *Костромской ИТ* 45% фасованный, кусочек примерно 300 гр;1000;http://vomoloko.ru/upload/files/vologda/sir_kostrom_0.jpg;468.78;7;Cыр *Костромской* - высокопитательный продукт с выраженным сырным вкусом. Имеет однородную пластичную консистенцию и глазки круглой или овальной формы, расположенные по всей массе.;;619;563;;;Упаковка:вакуумная упаковка|Срок хранения:30 суток|Cостав: молоко  цельное, молоко обезжиренное, соль поваренная пищевая, с использованием закваски на чистых культурах  лактоккоков, молокосвертывающего сычужно- говяжего ферментного  препарата  животного  происхождения, кальция хлористого.;;2000;0.3;0.3;0;;кг
2032;Сыр *Золотое Кольцо* 45% фасованный, кусочек примерно 300 гр;Сыр *Золотое Кольцо* 45% фасованный, кусочек примерно 300 гр;1000;http://vomoloko.ru/upload/files/vologda/sir_zolotoe_kolzo_0.jpg;468.78;7;Сыр *Золотое кольцо* - высокопитательный продукт, с  выраженным сырным вкусом. Имеет нежную пластичную консистенцию с глазками правильной или неправильной угловой формы.;;619;563;;;Упаковка:вакуумная упаковка|Срок хранения:30 суток|Cостав: молоко  цельное, молоко обезжиренное, соль поваренная пищевая, с использованием закваски на чистых культурах  лактоккоков, молокосвертывающего сычужно- говяжего ферментного  препарата  животного  происхождения, кальция хлористого.;;2000;0.3;0.3;0;;кг
2033;Сыр *Российский* молодой 45% фасованный, кусочек примерно 300 гр;Сыр *Российский* молодой 45% фасованный, кусочек примерно 300 гр;1000;http://vomoloko.ru/upload/files/vologda/sir_ros.jpg;480.61;7;Сыр *Российский молодой* - это высококачественный продукт, обладает широкой гаммой вкусовых оттенков. Имеет нежную пластичную консистенцию и глазки неправильной формы по всей массе.;;635;577;;;Упаковка:вакуумная упаковка|Срок хранения:30 суток|Cостав: молоко  цельное, молоко обезжиренное, соль поваренная пищевая, с использованием закваски на чистых культурах  лактоккоков, молокосвертывающего сычужно- говяжего ферментного  препарата  животного  происхождения, кальция хлористого.;;2000;0.3;0.3;0;;кг
2034;Сыр *Маасдам* 45% фасованный, кусочек примерно 300 гр;Сыр *Маасдам* 45% фасованный, кусочек примерно 300 гр;1000;http://vomoloko.ru/upload/files/vologda/sir_maasdam.jpg;494.75;7;Сыр *Маасдам*- высокопитательный продукт, с умеренно  выраженным сырным слегка сладковатым пряным  вкусом. Имеет нежную пластичную консистенцию и  глазки круглой  и овальной формы разного размера, равномерно расположенные по всей массе.;;653;594;;;Упаковка:вакуумная упаковка|Срок хранения:25 суток|Cостав: молоко  цельное, молоко обезжиренное, соль поваренная пищевая, с использованием закваски на чистых культурах  лактоккоков, молокосвертывающего сычужно- говяжего ферментного  препарата  животного  происхождения, кальция хлористого.;;2000;0.3;0.3;0;;кг
2035;Сыр плавленый *Балтийский с крилем* 30%;Сыр плавленый *Балтийский с крилем* 30%;40;http://vomoloko.ru/upload/files/vologda/syrs_plavlenyt.jpg;13.79;7;;;18;16.50;;;Упаковка:Фольга|Срок хранения:35 суток|Состав: сыр нежирный для плавления, масло сладкосливочное, сыр полутвердый, вода, творог, сметана, молоко сухое обезжиренное, приправа со вкусом и ароматом крабов, соли плавители ( *фонакон*, натрий фофорнокислый двузамещенный), соль поваренная пищевая, ароматизатор идентичный натуральному *Томат*, ароматизатор идетичный натуральному *Перец королевский*.;;2000;6;6;0;;шт
2036;Сыр плавленый *Городской* 30%;Сыр плавленый *Городской* 30%;40;http://vomoloko.ru/upload/files/vologda/syrs_plavlenyt.jpg;13.51;7;;;18;16.50;;;Упаковка:Фольга|Срок хранения:75 суток|Состав: сыр нежирный для плваления, сыр полутвердый, вода, масло сладкосливочное, творог,сметана, молоко сухое обезжиренное, соли плавители ( *фонакон* натрий фофорнокислый двузамещенный), соль поваренная пищевая.;;2000;6;6;0;;шт
2037;Сыр плавленый *Кисломолочный* 45%;Сыр плавленый *Кисломолочный* 45%;40;http://vomoloko.ru/upload/files/vologda/syrs_plavlenyt.jpg;13.51;7;;;18;16.50;;;Упаковка:Фольга|Срок хранения:45 суток|Состав: сыр полутвердый, масло сладкосливочное, сыр нежирный для плавления, творог, вода, молоко сухое обезжиренное, закваска  на чистых  культурах лактококков, сметана, соли-плавители (*фонакон*, натрий фосфорнокислый двузамещенный), соль поваренная пищевая.;;2000;6;6;0;;шт
2038;Сыр плавленый *Славянский* 55%;Сыр плавленый *Славянский* 55%;40;http://vomoloko.ru/upload/files/vologda/syrs_plavlenyt.jpg;13.51;7;;;18;16.50;;;Упаковка:Фольга|Срок хранения:45 суток|Состав: сыр полутвердый, масло сладкосливочное, сыр нежирный для плавления, молоко сухое обезжиренное, соли-плавители (*фонакон*, натрий фофорнокислый двузамещенный), соль поваренная пищевая. ;;2000;6;6;0;;шт
2039;Сыр плавленый *Русич* 56%;Сыр плавленый *Русич* 56%;40;http://vomoloko.ru/upload/files/vologda/syrs_plavlenyt.jpg;13.51;7;;;18;16.50;;;Упаковка:Фольга|Срок хранения:45 суток|Состав: сыр полутвердый, масло сладкосливочное, сыр нежирный для плавления, сливки, вода, молоко сухое обезжиренное, творог, соли плавители (*фонакон*,натрий фосфорнокислый двузамещенный), соль поваренная пищевая.;;2000;6;6;0;;шт
2040;Сыр плавленый *Кавказский* 50%;Сыр плавленый *Кавказский* 50%;40;http://vomoloko.ru/upload/files/vologda/syrs_plavlenyt.jpg;13.79;7;;;18;16.50;;;Упаковка:Фольга|Срок хранения:30 суток|Состав: сыр полутвердый, масло сладкосливочное, вода, творог, сметана, молоко сухое обезжиренное, сыр нежирный для плавления, соли- плавители ( *фонакон*, натрий фосфорнокислый двузамещенный), ароматизатор идентичный натуральному *Аджика*.;;2000;6;6;0;;шт
2041;Сыр плавленый *С грибами для супа* 55%;Сыр плавленый *С грибами для супа* 55%;40;http://vomoloko.ru/upload/files/vologda/syrs_plavlenyt.jpg;13.79;7;;;18;16.50;;;Упаковка:Фольга|Срок хранения:20 суток|Состав:сыр полутвердый, масло сладкосливочное, вода, сыр нежирный для плавления , сметана, молоко сухое обезжиренное, соли плавители ( *фогакон*, натрий фосфорнокислый двузамещенный), комплексная пищевая добавка *Грибы*, творог, ароматизатор идентичный натуральному *Белые грибы*.;;2000;6;6;0;;шт
2042;Молоко питьевое пастеризованное *Вологжанка* 1,5%;Молоко питьевое пастеризованное *Вологжанка* 1,5%;1000;;28.98;4;;;47;43;;;Упаковка:Картонный пакет|Срок хранения:7 суток|Cостав: цельное молоко, обезжиренное молоко;;2000;1;12;0;;шт
